word,freq
the,636455
and,320890
that,158298
<p>,109332
you,108972
was,103829
for,102337
with,85093
The,68999
his,62671
have,62618
not,61935
n't,60503
are,58660
this,54674
from,48818
had,48490
they,44390
her,43585
but,41138
all,37180
were,34844
about,33999
one,33928
would,33282
she,33217
their,32868
out,31502
has,30837
what,30477
said,29739
who,29621
can,28786
him,28515
will,27890
which,27851
there,27810
more,27631
been,27514
your,27265
like,26669
You,24696
them,24246
when,24090
And,23712
just,22833
know,22820
did,22279
But,21652
could,21453
time,21364
into,20907
...,20739
than,20031
some,19704
people,19635
're,19246
other,18874
get,18327
our,17353
its,16883
only,16412
think,16285
over,16140
now,16021
back,14926
She,14814
then,14782
What,14720
see,14684
right,14509
how,14341
any,14224
here,14174
way,14052
This,13884
two,13818
They,13778
very,13627
because,13387
first,13335
going,13314
these,13007
That,12935
much,12626
years,12574
down,12568
even,12381
should,12324
also,12177
make,12151
got,12089
most,12045
good,11880
after,11816
say,11804
want,11633
where,11592
'll,11533
through,11146
before,11142
those,11003
've,10940
new,10771
There,10568
such,10547
made,10544
may,10538
man,10536
many,10521
little,10451
does,10295
too,10219
never,9988
take,9802
being,9685
says,9661
work,9631
off,9544
still,9469
Mr.,9413
come,9336
well,9299
day,9286
something,9083
last,9036
own,8995
life,8816
really,8567
around,8122
same,8052
need,8043
might,7948
long,7913
year,7834
look,7537
things,7508
again,7502
When,7477
every,7438
great,7412
must,7402
world,7396
between,7349
Well,7230
while,7195
home,7177
thing,7163
thought,7068
another,7032
use,6938
each,6936
away,6778
three,6642
old,6506
few,6477
always,6451
came,6432
without,6384
both,6368
against,6355
For,6292
New,6249
put,6246
find,6229
place,6222
part,6138
better,6135
under,6114
found,6111
tell,6059
told,6027
went,5949
left,5858
help,5809
used,5807
mean,5807
why,5771
let,5748
love,5646
How,5637
next,5637
men,5550
ever,5521
lot,5507
since,5481
night,5459
give,5453
until,5392
house,5389
All,5379
American,5317
though,5257
money,5235
Yeah,5181
<h>,5175
best,5165
enough,5157
country,5150
face,5126
head,5119
hand,5062
doing,5048
course,5037
took,5036
called,5011
state,4996
end,4982
point,4982
children,4925
Now,4892
school,4868
feel,4862
kind,4862
anything,4843
different,4816
upon,4814
far,4782
done,4773
government,4763
Yes,4758
sure,4698
eyes,4698
nothing,4693
himself,4692
during,4682
God,4674
women,4659
case,4641
big,4638
family,4635
keep,4635
room,4634
once,4620
fact,4581
asked,4572
high,4550
believe,4545
days,4526
Why,4486
less,4425
Then,4421
small,4387
One,4382
public,4376
students,4370
His,4335
knew,4272
power,4266
show,4233
call,4203
young,4203
side,4197
seen,4196
least,4195
United,4190
looked,4171
woman,4149
yet,4142
having,4098
set,4087
business,4085
whole,4080
name,4075
important,4052
wanted,4049
water,4043
saw,4022
together,3995
mind,3978
week,3956
number,3951
States,3909
talk,3876
already,3871
President,3863
question,3857
care,3834
real,3831
almost,3809
today,3784
times,3754
making,3750
father,3746
system,3744
second,3743
often,3737
story,3710
mother,3708
change,3703
door,3693
matter,3692
York,3669
become,3663
white,3660
trying,3658
hard,3634
U.S.,3625
read,3571
Not,3570
others,3569
ago,3566
person,3549
four,3517
looking,3495
among,3492
later,3484
political,3482
past,3482
law,3452
car,3451
able,3441
heard,3436
along,3435
large,3435
getting,3402
else,3397
moment,3389
everything,3382
whether,3380
someone,3366
percent,3365
million,3356
actually,3350
morning,3339
light,3338
early,3326
book,3316
idea,3306
Let,3305
turned,3304
body,3295
given,3280
problem,3260
felt,3258
John,3252
gon,3250
coming,3242
hands,3239
war,3230
rather,3224
job,3221
open,3220
THE,3218
behind,3214
city,3195
understand,3191
information,3187
taken,3172
group,3164
means,3148
several,3136
play,3122
within,3109
bad,3108
makes,3099
After,3099
half,3090
run,3083
across,3080
full,3068
five,3052
game,3046
probably,3040
live,3035
Just,3035
heart,3025
&nbsp;,3024
With,3016
try,3011
order,3010
support,3001
office,2995
sense,2993
working,2993
hear,2985
ask,2970
saying,2961
true,2956
friends,2953
black,2944
company,2942
words,2939
possible,2934
These,2930
child,2925
however,2913
began,2912
seemed,2908
start,2897
gave,2887
either,2881
line,2879
happened,2848
top,2845
seems,2825
voice,2825
leave,2816
toward,2810
Hey,2810
human,2808
started,2780
myself,2771
America,2770
reason,2760
talking,2753
turn,2751
lost,2749
wrong,2749
friend,2746
close,2746
themselves,2743
study,2743
including,2736
minutes,2735
quite,2735
hope,2728
food,2725
example,2723
free,2721
pay,2717
known,2717
comes,2716
months,2709
social,2692
death,2687
girl,2674
soon,2668
front,2653
wife,2638
history,2619
taking,2603
president,2594
health,2583
gone,2579
future,2571
stop,2567
using,2565
