Year,Sum_Pages,Count_Newspapers
1736,158,18
1737,405,54
1738,402,54
1739,400,54
1740,126,27
1741,88,17
1745,90,23
1746,86,21
1750,147,37
1751,254,52
1752,796,118
1753,360,58
1754,274,55
1755,592,78
1756,427,55
1757,412,53
1758,354,51
1759,206,53
1760,201,52
1761,200,52
1762,221,52
1763,383,95
1764,616,128
1765,384,94
1766,732,122
1767,886,156
1768,1152,157
1769,1198,161
1770,897,117
1771,844,105
1772,795,105
1773,1225,105
1774,1485,115
1775,2504,242
1776,2021,201
1777,1161,109
1778,298,36
1779,570,90
1780,319,82
1781,351,104
1782,548,116
1783,573,102
1784,622,103
1785,632,106
1786,637,113
1787,1240,205
1788,1187,201
1789,1723,266
1790,2244,316
1791,1996,342
1792,2657,462
1793,2927,531
1794,4048,775
1795,3747,713
1796,4275,955
1797,5393,1097
1798,7659,1432
1799,8992,1569
1800,5454,1204
1801,5769,1098
1802,5652,1060
1803,6150,1145
1804,5175,1093
1805,5073,1018
1806,5738,1090
1807,5745,1113
1808,5526,1144
1809,8109,1413
1810,10537,1641
1811,9584,1617
1812,11727,1963
1813,9960,1746
1814,9525,1741
1815,10227,1912
1816,10082,1790
1817,10679,1824
1818,11096,2075
1819,12193,2263
1820,14262,2580
1821,11998,2511
1822,14271,2664
1823,13537,2525
1824,12379,2311
1825,13690,2519
1826,14596,2881
1827,19971,3893
1828,23038,4351
1829,22539,4465
1830,23582,4640
1831,21795,4212
1832,25022,4966
1833,24798,4939
1834,27903,5499
1835,27999,5560
1836,31555,6273
1837,35469,7246
1838,40663,7947
1839,41122,8266
1840,45953,9374
1841,47209,9586
1842,47348,9923
1843,48317,9980
1844,53699,11696
1845,60523,12602
1846,63652,12788
1847,67613,13477
1848,72515,14669
1849,73395,15554
1850,88409,17518
1851,93266,19185
1852,103754,21665
1853,109949,22462
1854,124118,25102
1855,141488,27874
1856,145815,29174
1857,158049,30296
1858,172542,34116
1859,176865,34937
1860,185916,34859
1861,179477,34275
1862,161503,32429
1863,150928,30852
1864,149430,30377
1865,162654,31810
1866,192210,35455
1867,191880,35142
1868,194478,37170
1869,209082,37464
1870,218223,38993
1871,228237,40780
1872,254612,45268
1873,264698,47217
1874,271823,48897
1875,290785,52220
1876,296583,52571
1877,301308,53191
1878,320751,55646
1879,325239,56631
1880,334519,59437
1881,352525,61983
1882,371704,65340
1883,408570,69768
1884,438228,74067
1885,460519,78655
1886,495554,83370
1887,529609,84852
1888,527492,85210
1889,569955,88103
1890,615992,90862
1891,658085,95117
1892,689685,96273
1893,757779,103637
1894,788575,106187
1895,861630,109960
1896,911386,113374
1897,932346,116809
1898,962794,119436
1899,998836,123825
1900,1038282,123901
1901,1072502,125989
1902,1128459,128073
1903,1148111,131169
1904,1199829,135404
1905,1249122,137883
1906,1276716,140691
1907,1341557,143318
1908,1395874,152106
1909,1449999,154853
1910,1519661,157580
1911,1512103,155154
1912,1555486,154696
1913,1556718,154945
1914,1584873,157433
1915,1671537,163007
1916,1709166,163176
1917,1591781,157296
1918,1537601,155588
1919,1714886,156286
1920,1727438,155921
1921,1710909,156674
1922,1791581,153754
1923,1369249,118101
1924,1274869,108791
1925,1304884,109449
1926,1362924,108454
1927,1399276,110099
1928,1409117,110084
1929,1500522,113126
1930,1442947,112891
1931,1306656,108371
1932,1162668,107063
1933,1133144,105938
1934,1243401,108011
1935,1290828,108280
1936,1371867,111048
1937,1397785,109785
1938,1305475,106517
1939,1369570,106535
1940,1377444,105718
1941,1376357,106029
1942,1283985,106546
1943,1244654,107207
1944,1250666,105491
1945,1238076,105793
1946,1360987,106887
1947,1562016,109092
1948,1675784,110052
1949,1776955,109512
1950,1915951,110755
1951,1958843,113837
1952,2126927,119933
1953,2173676,120305
1954,2229897,122938
1955,2383721,123852
1956,2462410,125072
1957,2542707,129663
1958,2556986,130116
1959,2663912,131444
1960,2726305,132273
1961,2650595,130148
1962,2724251,131607
1963,2784286,131619
1964,2943965,133258
1965,3111224,131040
1966,3257529,132704
1967,3258004,131448
1968,3377187,131697
1969,3649175,133372
1970,3616040,137087
1971,3866558,138565
1972,4102921,138043
1973,4343780,141039
1974,4324554,139011
1975,4393718,140256
1976,4631372,140955
1977,4864427,138723
1978,1647606,46815
1979,1508276,41635
1980,1474794,40116
1981,1495384,39561
1982,1440180,38757
1983,1605318,38826
1984,1742142,38612
1985,1710163,38494
1986,1663843,38606
1987,1627668,37089
1988,1555914,34500
1989,1712421,36318
1990,1558566,33548
1991,1628384,35327
1992,1661576,37973
1993,1688239,39073
1994,1692692,37256
1995,1614780,34790
1996,1636220,33811
1997,1778682,34035
1998,1924109,36907
1999,1888327,35395
2000,1664835,32545
2001,1381250,29979
2002,1515753,32639
2003,1722417,35629
2004,1696112,34765
2005,1573672,34394
2006,1549629,33434
2007,1607140,34423
2008,1252530,28656
2009,1206294,29805
2010,1224173,31687
2011,1302436,33503
2012,1127872,29305
2013,1234718,32746
2014,953324,26795
2015,791520,25409
2016,800756,26565
2017,712262,23430
2018,486498,17181
2019,303708,10972
2020,323199,13389
2021,243312,10438
2022,147824,5994
