Year,Avg_Page_Count_Per_Issue
1736,8.777777777777779
1737,7.5
1738,7.444444444444445
1739,7.407407407407407
1740,4.666666666666667
1741,5.176470588235294
1745,3.9130434782608696
1746,4.095238095238095
1750,3.972972972972973
1751,4.884615384615385
1752,6.745762711864407
1753,6.206896551724138
1754,4.9818181818181815
1755,7.589743589743589
1756,7.763636363636364
1757,7.773584905660377
1758,6.9411764705882355
1759,3.8867924528301887
1760,3.8653846153846154
1761,3.8461538461538463
1762,4.25
1763,4.031578947368421
1764,4.8125
1765,4.085106382978723
1766,6.0
1767,5.67948717948718
1768,7.337579617834395
1769,7.440993788819876
1770,7.666666666666667
1771,8.038095238095238
1772,7.571428571428571
1773,11.666666666666666
1774,12.91304347826087
1775,10.347107438016529
1776,10.054726368159203
1777,10.65137614678899
1778,8.277777777777779
1779,6.333333333333333
1780,3.8902439024390243
1781,3.375
1782,4.724137931034483
1783,5.617647058823529
1784,6.038834951456311
1785,5.962264150943396
1786,5.6371681415929205
1787,6.048780487804878
1788,5.9054726368159205
1789,6.477443609022556
1790,7.10126582278481
1791,5.83625730994152
1792,5.751082251082251
1793,5.512241054613936
1794,5.223225806451613
1795,5.255259467040673
1796,4.476439790575916
1797,4.916134913400183
1798,5.348463687150838
1799,5.7310388782664115
1800,4.529900332225914
1801,5.254098360655738
1802,5.332075471698113
1803,5.37117903930131
1804,4.734675205855444
1805,4.9833005893909625
1806,5.2642201834862385
1807,5.1617250673854445
1808,4.830419580419581
1809,5.738853503184713
1810,6.421084704448507
1811,5.9270253555967845
1812,5.974019358125318
1813,5.70446735395189
1814,5.4709936817920735
1815,5.3488493723849375
1816,5.632402234636872
1817,5.854714912280702
1818,5.347469879518072
1819,5.387980556783031
1820,5.527906976744186
1821,4.778176025487854
1822,5.356981981981982
1823,5.3611881188118815
1824,5.35655560363479
1825,5.434696308058753
1826,5.0662964248524816
1827,5.129976881582327
1828,5.29487474143875
1829,5.047928331466966
1830,5.082327586206897
1831,5.1745014245014245
1832,5.0386629077728555
1833,5.020854423972464
1834,5.0741953082378615
1835,5.035791366906475
1836,5.0302885381795
1837,4.894976538780017
1838,5.116773625267396
1839,4.97483668037745
1840,4.902176232131428
1841,4.9247861464635925
1842,4.771540864657865
1843,4.841382765531062
1844,4.591227770177839
1845,4.802650372956673
1846,4.977478886456052
1847,5.016917711656897
1848,4.943418092576181
1849,4.718721872187219
1850,5.046751912318758
1851,4.861402137086265
1852,4.789014539579967
1853,4.894889146113436
1854,4.944546251294717
1855,5.075984788691971
1856,4.998114759717557
1857,5.2168273039345125
1858,5.05750967288076
1859,5.062398030741048
1860,5.333371582661579
1861,5.2363822027717
1862,4.980202904807426
1863,4.892000518604953
1864,4.919182276064127
1865,5.113297705124174
1866,5.421238189253984
1867,5.4601331739798535
1868,5.232122679580307
1869,5.580877642536835
1870,5.596466032364783
1871,5.596787641000491
1872,5.624547141468587
1873,5.605989368236017
1874,5.559093604924637
