path_id,year,word_counts,error_counts
#:\Harvard\150\7173982\382143217.html,1736,981,182
#:\Harvard\104\7152713\330165851.html,1736,1762,326
#:\Harvard\104\7152713\330165809.html,1736,374,155
#:\Harvard\150\7173982\382143219.html,1736,1639,217
#:\Harvard\150\7173982\382143810.html,1736,1529,227
#:\Harvard\185\7152713\330165815.html,1736,155,58
#:\Harvard\150\7173982\382139209.html,1736,1493,226
#:\Harvard\150\7173982\382143811.html,1736,1452,198
#:\Harvard\150\7173982\382142948.html,1736,1437,249
#:\Harvard\102\7152713\330165864.html,1736,1090,206
#:\Harvard\150\7173982\382143098.html,1736,1530,260
#:\Harvard\150\7173982\382143218.html,1736,1677,334
#:\Harvard\150\7173982\382139692.html,1736,1175,195
#:\Harvard\150\7173982\382139327.html,1736,1589,270
#:\Harvard\102\7152713\330165882.html,1736,1602,287
#:\Harvard\104\7152713\330165831.html,1736,1568,301
#:\Harvard\185\7152713\330165796.html,1736,116,9
#:\Harvard\102\7152713\330165887.html,1736,1462,281
#:\Harvard\104\7152713\330165824.html,1736,1272,221
#:\Harvard\150\7173982\382139326.html,1736,1448,264
#:\Harvard\104\7152713\330165834.html,1736,1539,324
#:\Harvard\104\7152713\330165816.html,1736,1388,190
#:\Harvard\104\7152713\330165849.html,1736,1486,262
#:\Harvard\104\7152713\330165829.html,1736,1446,211
#:\Harvard\150\7173982\382143555.html,1736,1633,316
#:\Harvard\150\7173982\382143433.html,1736,1432,203
#:\Harvard\150\7173982\382143220.html,1736,1212,210
#:\Harvard\150\7173982\382143553.html,1736,1245,220
#:\Harvard\150\7173982\382143678.html,1736,1580,171
#:\Harvard\102\7152713\330165875.html,1736,1575,272
#:\Harvard\185\7152713\330165841.html,1736,1494,248
#:\Harvard\104\7152713\330165812.html,1736,202,73
#:\Harvard\150\7173982\382139328.html,1736,1595,343
#:\Harvard\150\7173982\382143556.html,1736,1566,300
#:\Harvard\104\7152713\330165808.html,1736,418,193
#:\Harvard\104\7152713\330165803.html,1736,403,132
#:\Harvard\104\7152713\330165850.html,1736,1577,229
#:\Harvard\150\7173982\382143944.html,1736,1452,327
#:\Harvard\150\7173982\382142950.html,1736,1648,301
#:\Harvard\102\7152713\330165861.html,1736,1624,180
#:\Harvard\104\7152713\330165802.html,1736,408,164
#:\Harvard\150\7173982\382144319.html,1736,1532,221
#:\Harvard\104\7152713\330165845.html,1736,1526,216
#:\Harvard\104\7152713\330165830.html,1736,1447,228
#:\Harvard\102\7152713\330165873.html,1736,1663,250
#:\Harvard\104\7152713\330165832.html,1736,1409,253
#:\Harvard\104\7152713\330165858.html,1736,1616,210
#:\Harvard\104\7152713\330165798.html,1736,406,74
#:\Harvard\150\7173982\382139587.html,1736,1639,215
#:\Harvard\150\7173982\382144450.html,1736,1539,329
#:\Harvard\150\7173982\382143095.html,1736,1073,172
#:\Harvard\150\7173982\382143432.html,1736,1423,202
#:\Harvard\150\7173982\382144448.html,1736,1600,229
#:\Harvard\185\7152713\330165846.html,1736,1488,245
#:\Harvard\150\7173982\382144184.html,1736,1589,245
#:\Harvard\150\7173982\382139694.html,1736,1628,318
#:\Harvard\150\7173982\382139211.html,1736,1382,241
#:\Harvard\185\7152713\330165825.html,1736,1650,249
#:\Harvard\102\7152713\330165885.html,1736,1516,260
#:\Harvard\104\7152713\330165827.html,1736,1560,335
#:\Harvard\104\7152713\330165837.html,1736,1547,192
#:\Harvard\150\7173982\382143809.html,1736,1293,189
#:\Harvard\150\7173982\382139325.html,1736,1164,239
#:\Harvard\150\7173982\382139463.html,1736,1336,195
#:\Harvard\150\7173982\382143677.html,1736,1205,197
#:\Harvard\150\7173982\382139466.html,1736,1565,268
#:\Harvard\104\7152713\330165821.html,1736,1595,273
#:\Harvard\150\7173982\382139210.html,1736,1597,307
#:\Harvard\104\7152713\330165799.html,1736,398,127
#:\Harvard\150\7173982\382144186.html,1736,1521,289
#:\Harvard\104\7152713\330165806.html,1736,440,178
#:\Harvard\102\7152713\330165883.html,1736,1353,267
#:\Harvard\185\7152713\330165836.html,1736,1191,202
#:\Harvard\104\7152713\330165823.html,1736,1557,297
#:\Harvard\150\7173982\382143097.html,1736,1652,299
#:\Harvard\104\7152713\330165855.html,1736,1537,262
#:\Harvard\104\7152713\330165795.html,1736,299,60
#:\Harvard\102\7152713\330165878.html,1736,1666,186
#:\Harvard\150\7173982\382144185.html,1736,1536,224
#:\Harvard\150\7173982\382139464.html,1736,1698,262
#:\Harvard\104\7152713\330165826.html,1736,1405,222
#:\Harvard\150\7173982\382143096.html,1736,1487,290
#:\Harvard\150\7173982\382143434.html,1736,1545,287
#:\Harvard\102\7152713\330165879.html,1736,1615,333
#:\Harvard\104\7152713\330165819.html,1736,1597,317
#:\Harvard\150\7173982\382144320.html,1736,1512,283
#:\Harvard\104\7152713\330165807.html,1736,310,149
#:\Harvard\104\7152713\330165848.html,1736,1088,172
#:\Harvard\104\7152713\330165838.html,1736,1554,237
#:\Harvard\104\7152713\330165820.html,1736,1325,191
#:\Harvard\102\7152713\330165871.html,1736,1522,302
#:\Harvard\150\7173982\382139208.html,1736,1078,204
#:\Harvard\150\7173982\382143342.html,1736,1446,273
#:\Harvard\104\7152713\330165797.html,1736,345,74
#:\Harvard\150\7173982\382139695.html,1736,1342,289
#:\Harvard\102\7152713\330165865.html,1736,1500,209
#:\Harvard\150\7173982\382143339.html,1736,1206,191
#:\Harvard\150\7173982\382144447.html,1736,1251,201
#:\Harvard\150\7173982\382142947.html,1736,1149,205
#:\Harvard\150\7173982\382139588.html,1736,1642,323
#:\Harvard\102\7152713\330165869.html,1736,1438,254
#:\Harvard\150\7173982\382143680.html,1736,1464,302
#:\Harvard\150\7173982\382139586.html,1736,1728,234
#:\Harvard\104\7152713\330165839.html,1736,1444,292
#:\Harvard\104\7152713\330165854.html,1736,1639,301
#:\Harvard\150\7173982\382139585.html,1736,1310,183
#:\Harvard\104\7152713\330165853.html,1736,1406,287
#:\Harvard\104\7152713\330165840.html,1736,1257,164
#:\Harvard\102\7152713\330165880.html,1736,1243,190
#:\Harvard\102\7152713\330166066.html,1737,1573,256
